,dataset,rewiring,num_iterations,borf_batch_add,borf_batch_remove,avg_accuracy,ci,run_duration,rewiring_duration
0,cornell,borf_sobolev,1,10,10,0.4918918918918919,0.03133270647824743,26.77153754234314,0.0004119873046875
0,cornell,borf_sobolev,1,10,10,0.4918918918918919,0.03133270647824743,26.77153754234314,0.0004119873046875
1,wisconsin,borf_sobolev,1,10,10,0.5156862745098039,0.030903354203679276,23.675087928771973,0.8257169723510742
0,cornell,borf_sobolev,1,10,10,0.4918918918918919,0.03133270647824743,26.77153754234314,0.0004119873046875
1,wisconsin,borf_sobolev,1,10,10,0.5156862745098039,0.030903354203679276,23.675087928771973,0.8257169723510742
2,texas,borf_sobolev,1,10,10,0.5405405405405406,0.02756226764104207,20.52680277824402,0.3246302604675293
0,cornell,borf_sobolev,1,10,10,0.4918918918918919,0.03133270647824743,26.77153754234314,0.0004119873046875
1,wisconsin,borf_sobolev,1,10,10,0.5156862745098039,0.030903354203679276,23.675087928771973,0.8257169723510742
2,texas,borf_sobolev,1,10,10,0.5405405405405406,0.02756226764104207,20.52680277824402,0.3246302604675293
3,chameleon,borf_sobolev,1,10,10,0.6144736842105263,0.014384360201471014,95.69233107566833,2548.8533811569214
0,cornell,borf_sobolev,1,10,10,0.4918918918918919,0.03133270647824743,26.77153754234314,0.0004119873046875
1,wisconsin,borf_sobolev,1,10,10,0.5156862745098039,0.030903354203679276,23.675087928771973,0.8257169723510742
2,texas,borf_sobolev,1,10,10,0.5405405405405406,0.02756226764104207,20.52680277824402,0.3246302604675293
3,chameleon,borf_sobolev,1,10,10,0.6144736842105263,0.014384360201471014,95.69233107566833,2548.8533811569214
4,cora,borf_sobolev,1,10,10,0.879889298892989,0.005282040031668439,23.114130973815918,5.543514013290405
0,cornell,borf_sobolev,1,10,10,0.4918918918918919,0.03133270647824743,26.77153754234314,0.0004119873046875
1,wisconsin,borf_sobolev,1,10,10,0.5156862745098039,0.030903354203679276,23.675087928771973,0.8257169723510742
2,texas,borf_sobolev,1,10,10,0.5405405405405406,0.02756226764104207,20.52680277824402,0.3246302604675293
3,chameleon,borf_sobolev,1,10,10,0.6144736842105263,0.014384360201471014,95.69233107566833,2548.8533811569214
4,cora,borf_sobolev,1,10,10,0.879889298892989,0.005282040031668439,23.114130973815918,5.543514013290405
5,citeseer,borf_sobolev,1,10,10,0.7375375375375375,0.010555886606883037,22.6666157245636,1.8169550895690918
0,cornell,borf_sobolev,1,10,10,0.46756756756756757,0.03336497159353721,21.716073751449585,0.015521526336669922
0,cornell,borf_sobolev,1,10,10,0.46756756756756757,0.03336497159353721,21.716073751449585,0.015521526336669922
1,wisconsin,borf_sobolev,1,10,10,0.49607843137254903,0.024833161096451093,27.754789352416992,0.0159912109375
0,cornell,borf_sobolev,1,50,10,0.4756756756756757,0.033496072183415486,42.14130210876465,0.23956966400146484
0,cornell,borf_sobolev,1,10,10,0.46756756756756757,0.03336497159353721,21.716073751449585,0.015521526336669922
1,wisconsin,borf_sobolev,1,10,10,0.49607843137254903,0.024833161096451093,27.754789352416992,0.0159912109375
2,texas,borf_sobolev,1,10,10,0.5027027027027027,0.04470502297975207,32.722493410110474,0.015331506729125977
0,cornell,borf_sobolev,1,50,10,0.4756756756756757,0.033496072183415486,42.14130210876465,0.23956966400146484
1,wisconsin,borf_sobolev,1,50,10,0.49411764705882344,0.022044657760870893,45.64478588104248,0.9262778759002686
0,cornell,borf_sobolev,1,50,10,0.4756756756756757,0.033496072183415486,42.14130210876465,0.23956966400146484
1,wisconsin,borf_sobolev,1,50,10,0.49411764705882344,0.022044657760870893,45.64478588104248,0.9262778759002686
2,texas,borf_sobolev,1,50,10,0.508108108108108,0.030385879616335557,51.02875804901123,0.3358638286590576
0,cornell,borf_sobolev,1,10,10,0.46756756756756757,0.03336497159353721,21.716073751449585,0.015521526336669922
1,wisconsin,borf_sobolev,1,10,10,0.49607843137254903,0.024833161096451093,27.754789352416992,0.0159912109375
2,texas,borf_sobolev,1,10,10,0.5027027027027027,0.04470502297975207,32.722493410110474,0.015331506729125977
3,chameleon,borf_sobolev,1,10,10,0.6160087719298246,0.012566382674831962,133.77149176597595,0.026506900787353516
0,cornell,borf_sobolev,1,10,10,0.46756756756756757,0.03336497159353721,21.716073751449585,0.015521526336669922
1,wisconsin,borf_sobolev,1,10,10,0.49607843137254903,0.024833161096451093,27.754789352416992,0.0159912109375
2,texas,borf_sobolev,1,10,10,0.5027027027027027,0.04470502297975207,32.722493410110474,0.015331506729125977
3,chameleon,borf_sobolev,1,10,10,0.6160087719298246,0.012566382674831962,133.77149176597595,0.026506900787353516
4,cora,borf_sobolev,1,10,10,0.870110701107011,0.007272275442701115,27.870614528656006,0.019570350646972656
0,cornell,borf_sobolev,1,10,10,0.46756756756756757,0.03336497159353721,21.716073751449585,0.015521526336669922
1,wisconsin,borf_sobolev,1,10,10,0.49607843137254903,0.024833161096451093,27.754789352416992,0.0159912109375
2,texas,borf_sobolev,1,10,10,0.5027027027027027,0.04470502297975207,32.722493410110474,0.015331506729125977
3,chameleon,borf_sobolev,1,10,10,0.6160087719298246,0.012566382674831962,133.77149176597595,0.026506900787353516
4,cora,borf_sobolev,1,10,10,0.870110701107011,0.007272275442701115,27.870614528656006,0.019570350646972656
5,citeseer,borf_sobolev,1,10,10,0.741141141141141,0.006568275370326639,29.584625720977783,0.01941394805908203
0,cornell,borf_sobolev,2,10,10,0.45675675675675675,0.03856445185240425,24.18936586380005,0.4107980728149414
0,cornell,borf_sobolev,2,10,10,0.45675675675675675,0.03856445185240425,24.18936586380005,0.4107980728149414
